film_title,year_released,rating,censor_rating,film_duration,genre
Greenland,2020,6.4,PG-13,1h 59min,"Action,Drama,Thriller"
Home Alone 2: Lost in New York,1992,6.8,PG,2h,"Adventure,Comedy,Crime"
Another Round,2020,8.0,Not Rated,1h 57min,"Comedy,Drama"
The Croods: A New Age,2020,7.0,PG,1h 35min,"Animation,Adventure,Comedy"
The Polar Express,2004,6.6,G,1h 40min,"Animation,Adventure,Comedy"
Klaus,2019,8.2,PG,1h 36min,"Animation,Adventure,Comedy"
National Lampoon's Christmas Vacation,1989,7.6,PG-13,1h 37min,Comedy
Mank,2020,7.2,R,2h 11min,"Biography,Comedy,Drama"
Elf,2003,7.0,PG,1h 37min,"Adventure,Comedy,Family"
Love Actually,2003,7.6,R,2h 15min,"Comedy,Drama,Romance"
Home Alone,1990,7.6,PG,1h 43min,"Comedy,Family"
Ava,2020,5.4,R,1h 36min,"Action,Crime,Drama"
Wonder Woman 1984,2020,6.9,PG-13,2h 31min,"Action,Adventure,Fantasy"
The Prom,2020,6.1,PG-13,2h 10min,"Comedy,Drama,Musical"
